23.03. 17:50:22.116    Launch arguments:  "gamemd.exe" -SPAWN -LOG -CD
23.03. 17:50:22.122    GameProcessLogic: Process started.
23.03. 17:50:22.131    Waiting for qres.dat or syringe.exe to exit.
23.03. 18:03:15.094    GameProcessLogic: Process exited.
23.03. 18:03:15.128    GameProcessExited: Parsing statistics.
23.03. 18:03:15.129    Parsing game statistics.
23.03. 18:03:15.129    Attempting to read statistics from debug/debug.log
23.03. 18:03:15.129    GameProcessExited: Adding match to statistics.
23.03. 18:03:15.130    Skipping adding match to statistics because game only had one player.
23.03. 21:02:13.065    Saving Client/friend_list.
23.03. 21:02:13.066    Saving Client/ignore_list.
23.03. 21:02:13.069    Saving Client/recent_list.
